"name","party","constituency","email","photo","link"
"Danielle Adams","NDP","Thompson","Danielle.Adams@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/adams.jpg","https://gov.mb.ca/legislature/members/info/adams.html"
"Nello Altomare","NDP","Transcona","Nello.Altomare@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/altomare.jpg","https://gov.mb.ca/legislature/members/info/altomare.html"
"Uzoma Asagwara","NDP","Union Station","Uzoma.Asagwara@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/asagwara.jpg","https://gov.mb.ca/legislature/members/info/asagwara.html"
"Diljeet Brar","NDP","Burrows","Diljeet.Brar@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/brar.jpg","https://gov.mb.ca/legislature/members/info/brar.html"
"Ian Bushie","NDP","Keewatinook","Ian.Bushie@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/bushie.jpg","https://gov.mb.ca/legislature/members/info/bushie.html"
"Hon. Eileen Clarke","Minister of Indigenous and Northern  Relations","Agassiz","Minister of Indigenous and Northern Relations
PC
 minindnr@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/clarke.jpg","https://gov.mb.ca/legislature/members/info/clarke.html"
"Hon. Catherine Cox","Minister of Sport, Culture and Heritage","Kildonan-River East","","https://gov.mb.ca/legislature/img/mla/cox.jpg","https://gov.mb.ca/legislature/members/info/cox.html"
"Hon. Cliff Cullen","Minister of Education","Spruce Woods","PC
 minedu@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/cullen.jpg","https://gov.mb.ca/legislature/members/info/cullen.html"
"Hon. Myrna Driedger","Speaker","Roblin","PC
 Myrna.Driedger@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/driedger.jpg","https://gov.mb.ca/legislature/members/info/driedger.html"
"Hon. Ralph Eichler","Minister of <strong>Economic Development and Training</strong>","Lakeside","Minister of Economic Development and Training
PC
 minedj@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/eichler.jpg","https://gov.mb.ca/legislature/members/info/eichler.html"
"Wayne Ewasko","<strong>Minister of Advanced Education, Skills and Immigration</strong>","Lac du Bonnet","Minister of Advanced Education, Skills and Immigration
PC
 minaesi@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/ewasko.jpg","https://gov.mb.ca/legislature/members/info/ewasko.html"
"Hon. Scott Fielding","<strong>Minister of Finance</strong>","Kirkfield Park","Minister of Finance
PC
 minfin@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/fielding.jpg","https://gov.mb.ca/legislature/members/info/fielding.html"
"Nahanni Fontaine","NDP","St. Johns","nahanni.fontaine@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/fontaine.jpg","https://gov.mb.ca/legislature/members/info/fontaine.html"
"Hon. Cameron Friesen","<strong>Minister of Justice and Attorney Genera</strong>l","Morden-Winkler","Minister of Justice and Attorney General","https://gov.mb.ca/legislature/img/mla/friesen.jpg","https://gov.mb.ca/legislature/members/info/friesen.html"
"Hon. Jon Gerrard","Independent Liberal","River Heights","jon.gerrard@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/gerrard.jpg","https://gov.mb.ca/legislature/members/info/gerrard.html"
"Hon. Kelvin Goertzen","Minister of <strong>   Legislative and Public Affairs</strong>","Steinbach","Minister of Legislative and Public Affairs","https://gov.mb.ca/legislature/img/mla/goertzen.jpg","https://gov.mb.ca/legislature/members/info/goertzen.html"
"Audrey Gordon","Minister of Mental Health, Wellness and Recovery","Southdale","PC
 minmhwr@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/gordon.jpg","https://gov.mb.ca/legislature/members/info/gordon.html"
"Josh Guenter","PC","Borderland","Josh.Guenter@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/guenter.jpg","https://gov.mb.ca/legislature/members/info/guenter.html"
"Hon. Sarah Guillemard","<strong>Minister of Conservation and Climate</strong>","Fort Richmond","Minister of Conservation and Climate
PC
 mincc@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/guillemard.jpg","https://gov.mb.ca/legislature/members/info/guillemard.html"
"Hon. Reg Helwer","Minister of Central Services","Brandon West","","https://gov.mb.ca/legislature/img/mla/helwer.jpg","https://gov.mb.ca/legislature/members/info/helwer.html"
"Len Isleifson","PC","Brandon East","Len.Isleifson@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/isleifson.jpg","https://gov.mb.ca/legislature/members/info/isleifson.html"
"Derek Johnson","<strong>Minister of</strong> <strong>Municipal Relations</strong>","Interlake-Gimli","Minister of Municipal Relations
PC
 minmr@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/johnson.jpg","https://gov.mb.ca/legislature/members/info/johnson.html"
"Scott Johnston","PC","Assiniboia","Scott.Johnston@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/johnston.jpg","https://gov.mb.ca/legislature/members/info/johnston.html"
"Wab Kinew","NDP","Fort Rouge","Wab.Kinew@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/kinew.jpg","https://gov.mb.ca/legislature/members/info/kinew.html"
"Bob Lagassé","PC","Dawson Trail","Bob.Lagasse@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/lagasse.jpg","https://gov.mb.ca/legislature/members/info/lagasse.html"
"Alan Lagimodiere","PC","Selkirk","Alan.Lagimodiere@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/lagimodiere.jpg","https://gov.mb.ca/legislature/members/info/lagimodiere.html"
"Dougald Lamont","Independent  Liberal","St. Boniface","Independent Liberal
 Dougald.Lamont@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/lamont.jpg","https://gov.mb.ca/legislature/members/info/lamont.html"
"Cindy Lamoureux","Independent  Liberal","Tyndall Park","Independent Liberal
 Cindy.Lamoureux@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/lamoureux.jpg","https://gov.mb.ca/legislature/members/info/lamoureux.html"
"Amanda Lathlin","NDP","The Pas-Kameesak","Amanda.Lathlin@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/lathlin.jpg","https://gov.mb.ca/legislature/members/info/lathlin.html"
"Tom Lindsey","NDP","Flin Flon","Tom.Lindsey@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/lindsey.jpg","https://gov.mb.ca/legislature/members/info/lindsey.html"
"Jim Maloway","NDP","Elmwood","Jim.Maloway@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/maloway.jpg","https://gov.mb.ca/legislature/members/info/maloway.html"
"Malaya Marcelino","NDP","Notre Dame","Malaya.Marcelino@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/marcelino.jpg","https://gov.mb.ca/legislature/members/info/marcelino.html"
"Shannon Martin","PC","McPhillips","Shannon.Martin@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/martin.jpg","https://gov.mb.ca/legislature/members/info/martin.html"
