"name","party","constituency","email","photo","link"
"Ronald Bonnetrouge","N/A","Deh Cho","Ron_bonnetrouge@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/ronald_bonnetrouge_02.jpg?itok=z_NNXhZH","https://www.ntassembly.ca/meet-members/mla/ronald-bonnetrouge"
"Ronald Bonnetrouge","N/A","Deh Cho","Ron_bonnetrouge@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/ronald_bonnetrouge_02.jpg?itok=z_NNXhZH","https://www.ntassembly.ca/meet-members/mla/ronald-bonnetrouge"
"Kevin O'Reilly","N/A","craig_yeo@ntassembly.ca","Kevin_OReilly@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/kevin_oreilly_02.jpg?itok=g3bFwg4D","https://www.ntassembly.ca/meet-members/mla/kevin-oreilly"
"Kevin O'Reilly","N/A","craig_yeo@ntassembly.ca","Kevin_OReilly@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/kevin_oreilly_02.jpg?itok=g3bFwg4D","https://www.ntassembly.ca/meet-members/mla/kevin-oreilly"
"Katrina Nokleby","N/A","Great Slave","Katrina_nokleby@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/katrina_nokleby_02.jpg?itok=ZotiI20B","https://www.ntassembly.ca/meet-members/mla/katrina-nokleby"
"Katrina Nokleby","N/A","Great Slave","Katrina_nokleby@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/katrina_nokleby_02.jpg?itok=ZotiI20B","https://www.ntassembly.ca/meet-members/mla/katrina-nokleby"
"R.J. Simpson","N/A","Rj_simpson@ntassembly.ca","Rj_simpson@gov.nt.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/rj_simpson_16.jpg?itok=uYS0abCQ","https://www.ntassembly.ca/meet-members/mla/rj-simpson"
"R.J. Simpson","N/A","Rj_simpson@ntassembly.ca","Rj_simpson@gov.nt.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/rj_simpson_16.jpg?itok=uYS0abCQ","https://www.ntassembly.ca/meet-members/mla/rj-simpson"
"Rocky Simpson","N/A","https://www.electionsnwt.ca/en/files/2019-hay-river-south-electoral-district-map","Rocky_simpson@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/rocky_simpson_01.jpg?itok=B68dVeex","https://www.ntassembly.ca/meet-members/mla/rocky-simpson"
"Rocky Simpson","N/A","https://www.electionsnwt.ca/en/files/2019-hay-river-south-electoral-district-map","Rocky_simpson@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/rocky_simpson_01.jpg?itok=B68dVeex","https://www.ntassembly.ca/meet-members/mla/rocky-simpson"
"Diane Archie","N/A","Diane_Archie@ntassembly.ca","Diane_Archie@gov.nt.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/diane_thom_07.jpg?itok=_qy63ccD","https://www.ntassembly.ca/meet-members/mla/diane-archie"
"Diane Archie","N/A","Diane_Archie@ntassembly.ca","Diane_Archie@gov.nt.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/diane_thom_07.jpg?itok=_qy63ccD","https://www.ntassembly.ca/meet-members/mla/diane-archie"
"Lesa Semmler","N/A","https://www.electionsnwt.ca/en/files/2019-inuvik-twin-lakes-electoral-district-map","Lesa_semmler@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/lesa_semmler_01.jpg?itok=TM8Bm9fR","https://www.ntassembly.ca/meet-members/mla/lesa-semmler"
"Lesa Semmler","N/A","https://www.electionsnwt.ca/en/files/2019-inuvik-twin-lakes-electoral-district-map","Lesa_semmler@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/lesa_semmler_01.jpg?itok=TM8Bm9fR","https://www.ntassembly.ca/meet-members/mla/lesa-semmler"
"Caitlin Cleveland","N/A","https://www.electionsnwt.ca/en/files/2019-kam-lake-electoral-district-map","Caitlin_cleveland@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/caitlin_cleveland_05.jpg?itok=My3mk3z1","https://www.ntassembly.ca/meet-members/mla/caitlin-cleveland"
"Caitlin Cleveland","N/A","https://www.electionsnwt.ca/en/files/2019-kam-lake-electoral-district-map","Caitlin_cleveland@ntassembly.ca","https://www.ntassembly.ca/sites/assembly/files/styles/member/public/caitlin_cleveland_05.jpg?itok=My3mk3z1","https://www.ntassembly.ca/meet-members/mla/caitlin-cleveland"
