"name","party","constituency","email","photo","link"
"THE HONOURABLE PAUL A. QUASSA","N/A","Aggu","pquassa@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Paul%20Quasa.jpg","https://assembly.nu.ca/honourable-paul-quassa"
"THE HONOURABLE JOE SAVIKATAAQ","N/A","Arviat South","jsavikataaq@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Joe%20Savigataak.jpg","https://assembly.nu.ca/honourable-joe-savikataaq"
"THE HONOURABLE DAVID AKEEAGOK","N/A","Quttiktuq","dakeeagok@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/David%20Akeeagok.JPG","https://assembly.nu.ca/honourable-david-akeeagok"
"THE HONOURABLE JEANNIE HAKONGAK EHALOAK","N/A","Cambridge Bay","jehaloak@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Jeanie%20Ehaloak.JPG","https://assembly.nu.ca/honourable-jeannie-hakongak-ehaloak"
"THE HONOURABLE GEORGE HICKES","N/A","Iqaluit-Tasiluk","ghickes@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Georges%20Hickes.jpg","https://assembly.nu.ca/honourable-george-hickes"
"THE HONOURABLE DAVID JOANASIE","N/A","South Baffin","djoanasie@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/David%20Joanasie.jpg","https://assembly.nu.ca/honourable-david-joanasie"
"THE HONOURABLE LORNE KUSUGAK","N/A","Rankin Inlet South","lkusugak@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Lorne%20Kusugak.JPG","https://assembly.nu.ca/honourable-lorne-kusugak"
"THE HONOURABLE MARGARET NAKASHUK","N/A","Pangnirtung","minnakashuk@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Margaret%20Nakashuk_0.JPG","https://assembly.nu.ca/honourable-margaret-nakashuk"
"THE HONOURABLE ELISAPEE SHEUTIAPIK","N/A","Iqaluit-Sinaa","esheutiapik@gov.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Elisapee%20Sheutiapik.JPG","https://assembly.nu.ca/honourable-elisapee-sheutiapik"
"TONY AKOAK","N/A","Gjoa Haven","takoak@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Tony%20Akoak_1.jpg","https://assembly.nu.ca/tony-akoak"
"PAT ANGNAKAK","N/A","Iqaluit-Niaqunnguu","pangnakak@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Pat%20Angnakak.jpg","https://assembly.nu.ca/pat-angnakak"
"ADAM ARREAK LIGHTSTONE","N/A","Iqaluit-Manirajak","alightstone@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Adam%20Lightstone.JPG","https://assembly.nu.ca/adam-arreak-lightstone"
"JOELIE KAERNERK","N/A","Amittuq","jkaernerk@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Joelie%20Kaernerk.JPG","https://assembly.nu.ca/joelie-kaernerk"
"PAULOOSIE KEYOOTAK","N/A","Uqqummiut","pkeyootak@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Pauloosie%20Keyootak.jpg","https://assembly.nu.ca/pauloosie-keyootak"
"JOHN MAIN","N/A","Arviat North-Whale Cove","jmain@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/John%20Main.JPG","https://assembly.nu.ca/john-main"
"PATTERK NETSER","N/A","Aivilik","pnetser@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Patterk%20Nester.jpg","https://assembly.nu.ca/patterk-netser"
"CALVIN PEDERSEN","N/A","Kugluktuk","cpedersen@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/CalvinPedersen.jpg","https://assembly.nu.ca/calvin-pedersen"
"DAVID QAMANIQ","N/A","Tununiq","dqamaniq@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/David%20Qamaniq-smaller.jpg","https://assembly.nu.ca/david-qamaniq"
"EMILIANO QIRNGNUQ","N/A","Netsilik","eqirngnuq@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Emiliano%20%20Qirngnuq.jpg","https://assembly.nu.ca/emiliano-qirngnuq"
"ALLAN RUMBOLT","N/A","Hudson Bay","arumbolt@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Alan%20Rumbolt_0.JPG","https://assembly.nu.ca/allan-rumbolt"
"CRAIG SIMAILAK","N/A","Baker Lake","csimailak@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/CraigSimailak.jpg","https://assembly.nu.ca/craig-simailak"
"CATHY TOWTONGIE","N/A","Rankin Inlet North-Chesterfield Inlet","ctowtongie@assembly.nu.ca","https://assembly.nu.ca/sites/default/files/imagecache/member_image/Cathy%20Towtongie.JPG","https://assembly.nu.ca/cathy-towtongie"
