name,email,telephone,constituency,party
Deepak Anand,deepak.anand@pc.ola.org,416-326-7528,Mississauga—Malton,Progressive Conservative Party of Ontario
Jill Andrew,JAndrew-QP@ndp.on.ca,416-325-0071,Toronto—St. Paul's,New Democratic Party of Ontario
Teresa Armstrong,tarmstrong-qp@ndp.on.ca,416-325-1872 ,London—Fanshawe,New Democratic Party of Ontario
Ted Arnott,ted.arnott@pc.ola.org,416-325-3880,Wellington—Halton Hills,Progressive Conservative Party of Ontario
Ian Arthur,IArthur-QP@ndp.on.ca,416-325-0168,Kingston and the Islands,New Democratic Party of Ontario
Roman Baber,rbaber@ola.org,416-326-7114,York Centre,Independent
Aris Babikian,aris.babikian@pc.ola.org,416-326-7111,Scarborough—Agincourt,Progressive Conservative Party of Ontario
Doly Begum,DBegum-QP@ndp.on.ca,416-325-0908,Scarborough Southwest,New Democratic Party of Ontario
Jessica Bell,JBell-QP@ndp.on.ca,416-325-1620,University—Rosedale,New Democratic Party of Ontario
Rima Berns-McGown,RBerns-McGown-QP@ndp.on.ca,416-325-2881,Beaches—East York,New Democratic Party of Ontario
Gilles Bisson,gbisson@ndp.on.ca,416-325-7122,Timmins,New Democratic Party of Ontario
Stephen Blais,sblais.mpp.co@liberal.ola.org,,Orléans,Ontario Liberal Party
Guy Bourgouin,GBourgouin-QP@ndp.on.ca,416-326-7351,Mushkegowuk—James Bay,New Democratic Party of Ontario
Jeff Burch,JBurch-QP@ndp.on.ca,416-325-3990,Niagara Centre,New Democratic Party of Ontario
Paul Calandra,paul.calandra@pc.ola.org,416-325-7754,Markham—Stouffville,Progressive Conservative Party of Ontario
Lorne Coe,lorne.coe@pc.ola.org,416-325-1331,Whitby,Progressive Conservative Party of Ontario
Lucille Collard,LCollard.mpp.co@liberal.ola.org,416-325-0007,Ottawa—Vanier,Ontario Liberal Party
Michael Coteau,mcoteau.mpp.co@liberal.ola.org,416-325-4544,Don Valley East,Ontario Liberal Party
Amy Fee,amy.fee@pc.ola.org,416-325-7754,Kitchener South—Hespeler,Progressive Conservative Party of Ontario
Catherine Fife,cfife-qp@ndp.on.ca,416-325-6913,Waterloo,New Democratic Party of Ontario
Doug Ford,doug.fordco@pc.ola.org,416-325-1941 ,Etobicoke North,Progressive Conservative Party of Ontario
John Fraser,Jfraser.mpp.co@liberal.ola.org,416-325-4670  ,Ottawa South,Ontario Liberal Party
Jennifer French,JFrench-QP@ndp.on.ca,416-325-0117  ,Oshawa,New Democratic Party of Ontario
Wayne Gates,wgates-qp@ndp.on.ca,416-212-6102 ,Niagara Falls,New Democratic Party of Ontario
Goldie Ghamari,goldie.ghamari@pc.ola.org,416-325-4890  ,Carleton,Progressive Conservative Party of Ontario
Chris Glover,CGlover-CO@ndp.on.ca,416-326-7196  ,Spadina—Fort York,New Democratic Party of Ontario
Michael Gravelle,mgravelle.mpp.co@liberal.ola.org,416-325-4757  ,Thunder Bay—Superior North,Ontario Liberal Party
Lisa Gretzky,LGretzky-QP@ndp.on.ca,416-325-0235 ,Windsor West,New Democratic Party of Ontario
France Gélinas,fgelinas-qp@ndp.on.ca,416-325-9203,Nickel Belt,New Democratic Party of Ontario
Joel Harden,JHarden-QP@ndp.on.ca,416-326-7648  ,Ottawa Centre,New Democratic Party of Ontario
Faisal Hassan,FHassan-QP@ndp.on.ca,416-326-6961,York South—Weston,New Democratic Party of Ontario
Percy Hatfield,PHatfield-QP@ndp.on.ca,416-325-6773  ,Windsor—Tecumseh,New Democratic Party of Ontario
Randy Hillier,RHillier-CO@ola.org,416-325-2244,Lanark—Frontenac—Kingston,Independent
Andrea Horwath,horwatha-qp@ndp.on.ca,416-325-7116  ,Hamilton Centre,New Democratic Party of Ontario
Mitzie Hunter,mhunter.mpp.co@liberal.ola.org,416-325-4800 ,Scarborough—Guildwood,Ontario Liberal Party
Logan Kanapathi,logan.kanapathi@pc.ola.org,416-325-4850 ,Markham—Thornhill,Progressive Conservative Party of Ontario
Belinda Karahalios,bkarahalios@ola.org,416-325-0079,Cambridge,New Blue Party of Ontario
Bhutila Karpoche,BKarpoche-QP@ndp.on.ca,416-325-3017  ,Parkdale—High Park,New Democratic Party of Ontario
Terence Kernaghan,TKernaghan-QP@ndp.on.ca,416-326-7568  ,London North Centre,New Democratic Party of Ontario
Daryl Kramp,daryl.kramp@pc.ola.org,416-326-7005  ,Hastings—Lennox and Addington,Progressive Conservative Party of Ontario
Laura Mae Lindo,LLindo-QP@ndp.on.ca,416-326-7221  ,Kitchener Centre,New Democratic Party of Ontario
Sol Mamakwa,SMamakwa-QP@ndp.on.ca,416-326-7692 ,Kiiwetinoong,New Democratic Party of Ontario
Michael Mantha,mmantha-qp@ndp.on.ca,416-325-1938   ,Algoma—Manitoulin,New Democratic Party of Ontario
Gila Martow,gila.martow@pc.ola.org,416-325-0100,Thornhill,Progressive Conservative Party of Ontario
Paul Miller,pmiller-qp@ndp.on.ca,416-325-0707   ,Hamilton East—Stoney Creek,New Democratic Party of Ontario
Christina Mitas,christina.mitas@pc.ola.org,416-326-7374 ,Scarborough Centre,Progressive Conservative Party of Ontario
Judith Monteith-Farrell,JMonteith-Farrell-QP@ndp.on.ca,416-325-9820   ,Thunder Bay—Atikokan,New Democratic Party of Ontario
Suze Morrison,SMorrison-QP@ndp.on.ca,416-326-7171   ,Toronto Centre,New Democratic Party of Ontario
Taras Natyshak,tnatyshak-qp@ndp.on.ca,416-325-0714   ,Essex,New Democratic Party of Ontario
Rick Nicholls,rick.nicholls@pc.ola.org,416-325-9099   ,Chatham-Kent—Leamington,Progressive Conservative Party of Ontario
