"name","party","constituency","email","photo","link"
"Trish Altass","Green","Tyne Valley - Sherbrooke","pdaltassMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-07/trish_altass.jpg","https://www.assembly.pe.ca/members/trish-altass"
"Hon. James Aylward","PC","Stratford - Keppoch","jsjaylwardMinister@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-06/JamesAylwardGPEIBLS_9007_PREM_4x5.jpg","https://www.assembly.pe.ca/members/james-aylward"
"Michele Beaton","Green","Mermaid - Stratford","mlbeatonMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-07/michele_beaton.jpg","https://www.assembly.pe.ca/members/michele-beaton"
"Hannah Bell","Green","Charlottetown - Belvedere","hebellmla@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-07/hannah_bell.jpg","https://www.assembly.pe.ca/members/hannah-bell"
"Zack Bell","PC","Charlottetown - Winsloe","zhbellmla@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2020-11/Zack%20Bell_1.jpg","https://www.assembly.pe.ca/members/zack-bell"
"Karla Bernard","Green","Charlottetown - Victoria Park","kmbernardMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-08/karla_bernard.jpg","https://www.assembly.pe.ca/members/karla-bernard"
"Hon. Peter Bevan-Baker","Green","New Haven - Rocky Point","psbevanbakermla@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-04/Peter_Bevan_BakerGPEIBLS2622_LEG_4x5.jpg","https://www.assembly.pe.ca/members/peter-bevan-baker"
"Hon. Darlene Compton","PC","Belfast - Murray River","dcomptonm","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-06/Darlene%20ComptonGPEIBLS_9184_PREM_4x5.jpg","https://www.assembly.pe.ca/members/darlene-compton"
"Cory Deagle","PC","Montague - Kilmuir","cfdeaglemla@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2020-08/Cory_Deagle_0.jpg","https://www.assembly.pe.ca/members/cory-deagle"
"Hon. Jamie Fox","PC","Borden - Kinkora","MinisterFC@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-05/Jamie_FoxGPEIBLS2441_LEG_4x5.jpg","https://www.assembly.pe.ca/members/jamie-fox"
"Sonny Gallant","Liberal","Evangeline - Miscouche","sjgallantMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-10/Sonny_GallantGPEIBLS2553_LEG_4x5.jpg","https://www.assembly.pe.ca/members/sonny-gallant"
"Ole Hammarlund","Green","Charlottetown - Brighton","ohammarlundMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-08/ole_hammarlund.jpg","https://www.assembly.pe.ca/members/ole-hammarlund"
"Robert Henderson","Liberal","O'Leary - Inverness","rlhendersonMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-05/Robert_HendersonGPEIBLS2572_LEG_4x5.jpg","https://www.assembly.pe.ca/members/robert-henderson"
"Stephen Howard","Green","Summerside - South Drive","sphowardMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-08/steve_howard.jpg","https://www.assembly.pe.ca/members/stephen-howard"
"Hon. Ernie Hudson","PC","Alberton - Bloomfield","ehhudsonMinister@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-06/ErnieHudsonGPEIBLS_9157_PREM_4x5.jpg","https://www.assembly.pe.ca/members/ernie-hudson"
"Hon. Natalie Jameson","PC","Charlottetown - Hillsborough Park","MinisterELL@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2020-07/Natalie%20Jameson-2020.jpg","https://www.assembly.pe.ca/members/natalie-jameson"
"Hon. Dennis King","PC","Brackley - Hunter River","premier@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-09/dennis_king_-_from_web.jpg","https://www.assembly.pe.ca/members/dennis-king"
"Hon. Colin LaVie, Speaker","PC","Souris - Elmira","crlavieMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2020-08/Colin_LaVie_1.jpg","https://www.assembly.pe.ca/members/colin-lavie"
"Lynne Lund","Green","Summerside - Wilmot","lglundMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-09/lynne_lund.jpg","https://www.assembly.pe.ca/members/lynne-lund"
"Heath MacDonald","Liberal","Cornwall - Meadowbank","hmacdonaldMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-05/Heath_MacDonaldGPEIBLS1203_EDT_4x5.jpg","https://www.assembly.pe.ca/members/heath-macdonald"
"Sidney MacEwen","PC","Morell - Donagh","smacewenmla@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-05/Sidney_MacEwenGPEIBLS2595_LEG_4x5.jpg","https://www.assembly.pe.ca/members/sidney-macewen"
"Hon. Matthew MacKay","PC","Kensington - Malpeque","MinisterEGTC@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-06/MatthewMacKayGPEIBLS_9091_PREM_4x5.jpg","https://www.assembly.pe.ca/members/matthew-mackay"
"Gordon McNeilly","Liberal","Charlottetown - West Royalty","gamcneillyMLA@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2020-08/Gordon_McNeilly.jpg","https://www.assembly.pe.ca/members/gordon-mcneilly"
"Hon. Steven Myers","PC","Georgetown - Pownal","samyersminister@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-10/Steven%20Myers-from%20web.png","https://www.assembly.pe.ca/members/steven-myers"
"Hal Perry","Liberal","Tignish - Palmer Road","jhperrymla@assembly.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2020-11/Hal%20Perry-update_0.jpg","https://www.assembly.pe.ca/members/hal-perry"
"Hon. Bloyce Thompson","PC","Stanhope - Marshfield","MinisterAgLand@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-06/BloyceThompsonGPEIBLS_9026_PREM_4x5.jpg","https://www.assembly.pe.ca/members/bloyce-thompson"
"Hon. Brad Trivers","PC","Rustico - Emerald","DeptSDH@gov.pe.ca","https://www.assembly.pe.ca//sites/www.assembly.pe.ca/files/2019-06/BradTriversGPEIBLS_9217_PREM_4x5.jpg","https://www.assembly.pe.ca/members/brad-trivers"
