"name","constituency","party","phone","fax","email"
"Ted Adel","Copperbelt North","Yukon Liberal Party","867-393-7470","867-393-7135","ted.adel@yukon.ca"
"Brad Cathers","Lake Laberge","Yukon Party","867-667-8625","867-393-6982","Brad.Cathers@yla.gov.yk.ca"
"Hon. Nils Clarke","Riverdale North","Yukon Liberal Party","867-667-5662","867-393-6280","nils.clarke@yukon.ca"
"Hon. Pauline Frost","Vuntut Gwitchin","Yukon Liberal Party","867-393-7467","867-393-7135","Pauline.Frost@yukon.ca"
"Paolo Gallina","Porter Creek Centre","Yukon Liberal Party","867-393-7470","867-393-7135","Paolo.Gallina@yukon.ca"
"Liz Hanson","Whitehorse Centre","New Democratic Party","867-393-7059","867-393-6499","Elizabeth.Hanson@yla.gov.yk.ca"
"Stacey Hassard","Pelly-Nisutlin","Yukon Party","867-393-7104","867-393-6982","Stacey.Hassard@yla.gov.yk.ca"
"Don Hutton","Mayo-Tatchun","Independent","867-667-5498","867-393-6280","Don.Hutton@yla.gov.yk.ca"
"Wade Istchenko","Kluane","Yukon Party","867-393-7104","867-393-6982","Wade.Istchenko@yla.gov.yk.ca"
"Scott Kent","Copperbelt South","Yukon Party","867-393-7104","867-393-6982","Scott.Kent@yla.gov.yk.ca"
"Hon. Jeanie McLean","Mountainview","Yukon Liberal Party","867-393-7494","867-393-7135","Jeanie.McLean@yukon.ca"
"Patti McLeod","Watson Lake","Yukon Party","867-393-7104","867-393-6982","Patti.McLeod@yla.gov.yk.ca"
"Hon. Tracy-Anne McPhee","Riverdale South","Yukon Liberal Party","867-393-7488","867-393-7135","Tracy.McPhee@yukon.ca"
"Hon. Richard Mostyn","Whitehorse West","Yukon Liberal Party","867-393-7482","867-393-7135","Richard.Mostyn@yukon.ca"
"Hon. Ranj Pillai","Porter Creek South","Yukon Liberal Party","867-393-7418","867-393-7135","Ranj.Pillai@yukon.ca"
"Hon. Sandy Silver","Klondike","Yukon Liberal Party","867-393-7142","867-393-7135","sandy.silver@yukon.ca"
"Hon. John Streicker","Mount Lorne-Southern Lakes","Yukon Liberal Party","867-393-7427","867-393-7135","John.Streicker@yukon.ca"
"Geraldine Van Bibber","Porter Creek North","Yukon Party","867-393-7104","867-393-6982","Geraldine.VanBibber@yla.gov.yk.ca"
"Kate White","Takhini-Kopper King","New Democratic Party","867-393-7001","867-393-6499","kate.white@yla.gov.yk.ca"
